Date,Treatment,Line,Host,Rep,Counter,Live-OP50,Live-margin,Live-total,Total,Mortality,LineMean,TreatmentMean,TreatmentSE,LineMortality,TreatmentMortality,LMeanOP50,TMeanOP50,TSEOP50,TMortalityOP50,CV,COMMENTS
6/13/2018,worm counts,,N2,1,M,,,527,,,,494.3,,,,,,,,,
6/13/2018,worm counts,,N2,2,M,,,452,,,,,,,,,,,,,
6/13/2018,worm counts,,N2,3,M,,,504,,,,,,,,,,,,,
6/13/2018,worm counts,,N2,4,M,,,486,,,,,,,,,,,,,
6/13/2018,worm counts,,N2,5,M,,,598,,,,,,,,,,,,,
6/13/2018,worm counts,,N2,6,M,,,413,,,,,,,,,,,,,
6/13/2018,worm counts,,N2,7,M,,,525,,,,,,,,,,,,,
6/13/2018,worm counts,,N2,8,M,,,635,,,,,,,,,,,,,
6/13/2018,worm counts,,N2,9,M,,,446,,,,,,,,,,,,,
6/13/2018,worm counts,,N2,10,M,,,357,,,,,,,,,,,,,
6/14/2018,0-0,1,N2,1,M,58,32,90,494,0.817813765,100,85.95833333,10.05410709,0.797693708,0.826100883,75.75,60.58333333,8.831210437,0.877436105,0.056782305,
6/14/2018,0-0,1,N2,2,M,88,20,108,494,0.781376518,,,,,,,,,,,
6/14/2018,0-0,1,N2,3,L,55,21,76,494,0.846153846,,,,,,,,,,,
6/14/2018,0-0,1,N2,4,L,102,24,126,494,0.744939271,,,,,,,,,,,
6/14/2018,0-0,2,N2,1,L,36,18,54,494,0.890688259,115.75,,,0.765830467,,88,,,,,
6/14/2018,0-0,2,N2,2,L,85,30,115,494,0.767206478,,,,,,,,,,,
6/14/2018,0-0,2,N2,3,L,67,31,98,494,0.801619433,,,,,,,,,,,
6/14/2018,0-0,2,N2,4,M,164,32,196,494,0.603238866,,,,,,,,,,,
6/14/2018,0-0,3,N2,1,L,23,30,53,494,0.892712551,58.5,,,0.881650819,,38,,,,,
6/14/2018,0-0,3,N2,2,M,33,27,60,494,0.87854251,,,,,,,,,,,
6/14/2018,0-0,3,N2,3,L,57,20,77,494,0.844129555,,,,,,,,,,,
6/14/2018,0-0,3,N2,4,L,39,5,44,494,0.910931174,,,,,,,,,,,
6/14/2018,0-0,4,N2,1,L,51,23,74,494,0.850202429,57,,,0.884685414,,39.25,,,,,
6/14/2018,0-0,4,N2,2,M,48,19,67,494,0.86437247,,,,,,,,,,,
6/14/2018,0-0,4,N2,3,M,17,9,26,494,0.947368421,,,,,,,,,,,
6/14/2018,0-0,4,N2,4,M,41,20,61,494,0.876518219,,,,,,,,,,,
6/14/2018,0-0,5,N2,1,L,21,86,107,494,0.78340081,80.5,,,0.837143435,,47.25,,,,,
6/14/2018,0-0,5,N2,2,L,25,5,30,494,0.939271255,,,,,,,,,,,
6/14/2018,0-0,5,N2,3,L,35,18,53,494,0.892712551,,,,,,,,,,,
6/14/2018,0-0,5,N2,4,L,108,24,132,494,0.732793522,,,,,,,,,,,
6/14/2018,0-0,6,N2,1,M,70,25,95,494,0.807692308,104,,,0.789601457,,75.25,,,,,
6/14/2018,0-0,6,N2,2,M,53,25,78,494,0.842105263,,,,,,,,,,,
6/14/2018,0-0,6,N2,3,L,54,44,98,494,0.801619433,,,,,,,,,,,
6/14/2018,0-0,6,N2,4,L,124,21,145,494,0.706477733,,,,,,,,,,,
6/14/2018,100-0,1,N2,1,L,27,15,42,494,0.914979757,32,57.16666667,16.33830707,0.935261987,0.884348237,22,40.70833333,12.32974328,0.91764448,0.088230271,
6/14/2018,100-0,1,N2,2,L,34,2,36,494,0.927125506,,,,,,,,,,,
6/14/2018,100-0,1,N2,3,M,12,11,23,494,0.953441296,,,,,,,,,,,
6/14/2018,100-0,1,N2,4,L,15,12,27,494,0.94534413,,,,,,,,,,,
6/14/2018,100-0,2,N2,1,L,42,13,55,494,0.888663968,48.75,,,0.901375683,,36.5,,,,,
6/14/2018,100-0,2,N2,2,L,34,15,49,494,0.900809717,,,,,,,,,,,
6/14/2018,100-0,2,N2,3,L,50,14,64,494,0.870445344,,,,,,,,,,,
6/14/2018,100-0,2,N2,4,L,20,7,27,494,0.94534413,,,,,,,,,,,
6/14/2018,100-0,3,N2,1,L,13,2,15,494,0.969635628,49.75,,,0.89935262,,29.75,,,,,
6/14/2018,100-0,3,N2,2,M,50,31,81,494,0.836032389,,,,,,,,,,,
6/14/2018,100-0,3,N2,3,L,35,21,56,494,0.886639676,,,,,,,,,,,
6/14/2018,100-0,3,N2,4,M,21,26,47,494,0.9048583,,,,,,,,,,,
6/14/2018,100-0,4,N2,1,L,12,9,21,494,0.957489879,27.5,,,0.94436577,,18.75,,,,,
6/14/2018,100-0,4,N2,2,L,25,10,35,494,0.929149798,,,,,,,,,,,
6/14/2018,100-0,4,N2,3,L,12,11,23,494,0.953441296,,,,,,,,,,,
6/14/2018,100-0,4,N2,4,L,26,5,31,494,0.937246964,,,,,,,,,,,
6/14/2018,100-0,5,N2,1,L,52,19,71,494,0.856275304,136.5,,,0.723851912,,100.5,,,,,
6/14/2018,100-0,5,N2,2,L,82,29,111,494,0.775303644,,,,,,,,,,,
6/14/2018,100-0,5,N2,3,M,162,33,195,494,0.605263158,,,,,,,,,,,
6/14/2018,100-0,5,N2,4,M,106,63,169,494,0.657894737,,,,,,,,,,,
6/14/2018,100-0,6,N2,1,L,37,14,51,494,0.896761134,48.5,,,0.901881449,,36.75,,,,,
6/14/2018,100-0,6,N2,2,L,31,4,35,494,0.929149798,,,,,,,,,,,
6/14/2018,100-0,6,N2,3,L,44,12,56,494,0.886639676,,,,,,,,,,,
6/14/2018,100-0,6,N2,4,L,35,17,52,494,0.894736842,,,,,,,,,,,
6/14/2018,50-50,1,N2,1,L,20,11,31,494,0.937246964,37.5,62.95833333,8.987356088,0.924135141,0.872631331,31,44.54166667,8.572100255,0.909889406,0.048947257,
6/14/2018,50-50,1,N2,2,L,61,2,63,494,0.872469636,,,,,,,,,,,
6/14/2018,50-50,1,N2,3,L,23,11,34,494,0.931174089,,,,,,,,,,,
6/14/2018,50-50,1,N2,4,L,20,2,22,494,0.955465587,,,,,,,,,,,
6/14/2018,50-50,2,N2,1,M,21,23,44,494,0.910931174,99.25,,,0.799211005,,83.75,,,,,
6/14/2018,50-50,2,N2,2,L,62,7,69,494,0.860323887,,,,,,,,,,,
6/14/2018,50-50,2,N2,3,L,223,20,243,494,0.508097166,,,,,,,,,,,
6/14/2018,50-50,2,N2,4,M,29,12,41,494,0.917004049,,,,,,,,,,,
6/14/2018,50-50,3,N2,1,M,14,15,29,494,0.941295547,74,,,0.850293344,,47.25,,,,,
6/14/2018,50-50,3,N2,2,L,50,27,77,494,0.844129555,,,,,,,,,,,
6/14/2018,50-50,3,N2,3,L,51,36,87,494,0.82388664,,,,,,,,,,,
6/14/2018,50-50,3,N2,4,L,74,29,103,494,0.791497976,,,,,,,,,,,
6/14/2018,50-50,4,N2,1,M,21,31,52,494,0.894736842,45.25,,,0.908456403,,24.25,,,,,
6/14/2018,50-50,4,N2,2,L,32,7,39,494,0.921052632,,,,,,,,,,,
6/14/2018,50-50,4,N2,3,M,29,15,44,494,0.910931174,,,,,,,,,,,
6/14/2018,50-50,4,N2,4,L,15,31,46,494,0.906882591,,,,,,,,,,,
6/14/2018,50-50,5,N2,1,L,72,17,89,494,0.819838057,58.25,,,0.882156585,,36.5,,,,,
6/14/2018,50-50,5,N2,2,M,13,33,46,494,0.906882591,,,,,,,,,,,
6/14/2018,50-50,5,N2,3,M,38,17,55,494,0.888663968,,,,,,,,,,,
6/14/2018,50-50,5,N2,4,L,23,20,43,494,0.912955466,,,,,,,,,,,
6/14/2018,50-50,6,N2,1,M,40,10,50,494,0.898785425,63.5,,,0.871535505,,44.5,,,,,
6/14/2018,50-50,6,N2,2,L,50,9,59,494,0.880566802,,,,,,,,,,,
6/14/2018,50-50,6,N2,3,L,50,38,88,494,0.821862348,,,,,,,,,,,
6/14/2018,50-50,6,N2,4,L,38,19,57,494,0.884615385,,,,,,,,,,,
6/14/2018,0-100,1,N2,1,M,40,15,55,494,0.888663968,88,100.375,25.02638191,0.821970463,0.79693506,71.25,72.20833333,19.42833162,0.853917999,0.145233537,
6/14/2018,0-100,1,N2,2,L,65,25,90,494,0.817813765,,,,,,,,,,,
6/14/2018,0-100,1,N2,3,L,85,17,102,494,0.793522267,,,,,,,,,,,
6/14/2018,0-100,1,N2,4,L,95,10,105,494,0.787449393,,,,,,,,,,,
6/14/2018,0-100,2,N2,1,L,73,14,87,494,0.82388664,63.25,,,0.87204127,,45.5,,,,,
6/14/2018,0-100,2,N2,2,M,38,28,66,494,0.866396761,,,,,,,,,,,
6/14/2018,0-100,2,N2,3,L,13,9,22,494,0.955465587,,,,,,,,,,,
6/14/2018,0-100,2,N2,4,L,58,20,78,494,0.842105263,,,,,,,,,,,
6/14/2018,0-100,3,N2,1,M,64,14,78,494,0.842105263,72.5,,,0.853327938,,49.5,,,,,
6/14/2018,0-100,3,N2,2,M,34,23,57,494,0.884615385,,,,,,,,,,,
6/14/2018,0-100,3,N2,3,L,60,15,75,494,0.848178138,,,,,,,,,,,
6/14/2018,0-100,3,N2,4,M,40,40,80,494,0.83805668,,,,,,,,,,,
6/14/2018,0-100,4,N2,1,M,3,32,35,494,0.929149798,46.75,,,0.905421809,,21,,,,,
6/14/2018,0-100,4,N2,2,L,12,13,25,494,0.949392713,,,,,,,,,,,
6/14/2018,0-100,4,N2,3,M,28,22,50,494,0.898785425,,,,,,,,,,,
6/14/2018,0-100,4,N2,4,M,41,36,77,494,0.844129555,,,,,,,,,,,
6/14/2018,0-100,5,N2,1,L,176,35,211,494,0.572874494,216,,,0.56301841,,157,,,,,
6/14/2018,0-100,5,N2,2,L,226,67,293,494,0.406882591,,,,,,,,,,,
6/14/2018,0-100,5,N2,3,M,31,103,134,494,0.728744939,,,,,,,,,,,
6/14/2018,0-100,5,N2,4,L,195,31,226,494,0.542510121,,,,,,,,,,,
6/14/2018,0-100,6,N2,1,M,60,28,88,494,0.821862348,115.75,,,0.765830467,,89,,,,,
6/14/2018,0-100,6,N2,2,L,147,20,167,494,0.66194332,,,,,,,,,,,
6/14/2018,0-100,6,N2,3,L,107,22,129,494,0.738866397,,,,,,,,,,,
6/14/2018,0-100,6,N2,4,M,42,37,79,494,0.840080972,,,,,,,,,,,
6/14/2018,ancestor,1,N2,1,L,35,74,109,494,0.779352227,87.25,,,0.82348776,0.82348776,51.75,,,0.895306494,,
6/14/2018,ancestor,1,N2,2,M,18,22,40,494,0.91902834,,,,,,,,,,,
6/14/2018,ancestor,1,N2,3,L,30,19,49,494,0.900809717,,,,,,,,,,,
6/14/2018,ancestor,1,N2,4,M,124,27,151,494,0.694331984,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,1,M,,,505,,,,498.1,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,2,M,,,420,,,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,3,M,,,413,,,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,4,M,,,512,,,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,5,M,,,518,,,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,6,M,,,514,,,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,7,M,,,510,,,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,8,M,,,581,,,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,9,M,,,633,,,,,,,,,,,,,
6/14/2018,worm counts,,CF3-wt-inv,10,M,,,375,,,,,,,,,,,,,
6/14/2018,0-0,1,CF3-wt-inv,1,L,76,20,96,498,0.807228916,71.5,80.54166667,6.566777706,0.856454527,0.838302215,43,53.875,7.060969598,0.891838988,0.036209701,
6/14/2018,0-0,1,CF3-wt-inv,2,M,18,37,55,498,0.889558233,,,,,,,,,,,
6/14/2018,0-0,1,CF3-wt-inv,3,L,18,50,68,498,0.863453815,,,,,,,,,,,
6/14/2018,0-0,1,CF3-wt-inv,4,L,60,7,67,498,0.865461847,,,,,,,,,,,
6/14/2018,0-0,2,CF3-wt-inv,1,M,47,49,96,498,0.807228916,86,,,0.827343907,,48,,,,,
6/14/2018,0-0,2,CF3-wt-inv,2,M,46,52,98,498,0.803212851,,,,,,,,,,,
6/14/2018,0-0,2,CF3-wt-inv,3,M,9,34,43,498,0.913654618,,,,,,,,,,,
6/14/2018,0-0,2,CF3-wt-inv,4,L,90,17,107,498,0.785140562,,,,,,,,,,,
6/14/2018,0-0,3,CF3-wt-inv,1,L,23,17,40,498,0.919678715,80,,,0.839389681,,62.75,,,,,
6/14/2018,0-0,3,CF3-wt-inv,2,M,10,21,31,498,0.937751004,,,,,,,,,,,
6/14/2018,0-0,3,CF3-wt-inv,3,L,16,15,31,498,0.937751004,,,,,,,,,,,
