Date,Treatment,Line,Host,Rep,Counter,Live-OP50,Live-margin,Live-total,Total,Mortality,LineMean,TreatmentMean,TreatmentSE,LineMortality,TreatmentMortality,LMeanOP50,TMeanOP50,TSEOP50,TMortalityOP50,CV,COMMENTS
1/25/2019,Ancestor,1,JU1395,1,,4,0,4,270,0.985185185,0.956481482,0.956481482,0.005319039,,,,,,,,
1/25/2019,Ancestor,1,JU1395,2,,1,0,1,270,0.996296296,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,3,,3,0,3,270,0.988888889,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,4,,12,1,13,270,0.951851852,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,5,,16,1,17,270,0.937037037,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,6,,5,1,6,270,0.977777778,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,7,,14,2,16,270,0.940740741,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,8,,10,1,11,270,0.959259259,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,9,,17,2,19,270,0.92962963,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,10,,9,2,11,270,0.959259259,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,11,,13,1,14,270,0.948148148,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,12,,16,1,17,270,0.937037037,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,13,,8,2,10,270,0.962962963,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,14,,17,3,20,270,0.925925926,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,15,,9,3,12,270,0.955555556,,,,,,,,,,,
1/25/2019,Ancestor,1,JU1395,16,,14,0,14,270,0.948148148,,,,,,,,,,,
1/25/2019,100-0,1,JU1395,1,,70,4,74,270,0.725925926,0.694708995,0.8607694,,,,,,,,,
1/25/2019,100-0,1,JU1395,2,,64,8,72,270,0.733333333,,,,,,,,,,,
1/25/2019,100-0,1,JU1395,3,,79,13,92,270,0.659259259,,,,,,,,,,,
1/25/2019,100-0,1,JU1395,4,,69,11,80,270,0.703703704,,,,,,,,,,,
1/25/2019,100-0,1,JU1395,5,,84,12,96,270,0.644444444,,,,,,,,,,,
1/25/2019,100-0,1,JU1395,6,,122,14,136,270,0.496296296,,,,,,,,,,,
1/25/2019,100-0,1,JU1395,8,,27,0,27,270,0.9,,,,,,,,,,,
1/25/2019,100-0,2,JU1395,1,,22,1,23,270,0.914814815,0.929166667,,,,,,,,,,
1/25/2019,100-0,2,JU1395,2,,2,0,2,270,0.992592593,,,,,,,,,,,
1/25/2019,100-0,2,JU1395,3,,7,0,7,270,0.974074074,,,,,,,,,,,
1/25/2019,100-0,2,JU1395,4,,32,3,35,270,0.87037037,,,,,,,,,,,
1/25/2019,100-0,2,JU1395,5,,34,2,36,270,0.866666667,,,,,,,,,,,
1/25/2019,100-0,2,JU1395,6,,11,1,12,270,0.955555556,,,,,,,,,,,
1/25/2019,100-0,2,JU1395,7,,16,0,16,270,0.940740741,,,,,,,,,,,
1/25/2019,100-0,2,JU1395,8,,21,1,22,270,0.918518519,,,,,,,,,,,
1/25/2019,100-0,3,JU1395,1,,30,3,33,270,0.877777778,0.930555556,,,,,,,,,,
1/25/2019,100-0,3,JU1395,2,,5,0,5,270,0.981481481,,,,,,,,,,,
1/25/2019,100-0,3,JU1395,3,,6,2,8,270,0.97037037,,,,,,,,,,,
1/25/2019,100-0,3,JU1395,4,,47,5,52,270,0.807407407,,,,,,,,,,,
1/25/2019,100-0,3,JU1395,5,,4,0,4,270,0.985185185,,,,,,,,,,,
1/25/2019,100-0,3,JU1395,6,,5,1,6,270,0.977777778,,,,,,,,,,,
1/25/2019,100-0,3,JU1395,7,,34,4,38,270,0.859259259,,,,,,,,,,,
1/25/2019,100-0,3,JU1395,8,,4,0,4,270,0.985185185,,,,,,,,,,,
1/25/2019,100-0,4,JU1395,1,,5,0,5,270,0.981481481,0.933796296,,,,,,,,,,
